original_title,title,rating,genre1,genre2,genre3,director,year,duration,classification,ranking
,Breathe,3.7,Action,Thriller,,Stefon Bristol,2024,1h 33m,PG-13,Ranking 100
,Top Gun: Maverick,8.2,Action,Drama,,Joseph Kosinski,2022,2h 10m,12,Ranking 99
The Time Travelers,Los viajeros en el tiempo,5.2,Sci-Fi,,,Ib Melchior,1964,1h 24m,Approved,Ranking 98
,Snack Shack,7.0,Comedy,,,Adam Rehmeier,2024,1h 52m,R,Ranking 97
,Música,6.5,Comedy,Romance,,Rudy Mancuso,2024,1h 31m,PG-13,Ranking 96
,The American Society of Magical Negroes,2.8,Comedy,Fantasy,,Kobi Libii,2024,1h 44m,PG-13,Ranking 95
Night Swim,La piscina,4.7,Horror,Thriller,,Bryce McGuire,2024,1h 38m,12,Ranking 94
Happy Gilmore,Terminagolf,7.0,Comedy,Sport,,Dennis Dugan,1996,1h 32m,A,Ranking 93
,Lisa Frankenstein,6.1,Comedy,Horror,Romance,Zelda Williams,2024,1h 41m,PG-13,Ranking 92
,Kinds of Kindness,,Comedy,Drama,,Yorgos Lanthimos,,,,Ranking 91
Mean Girls,Chicas malas,5.7,Comedy,Musical,,Samantha Jayne,2024,1h 52m,12,Ranking 90
,Perfect Days,7.9,Drama,,,Wim Wenders,2023,2h 4m,PG,Ranking 89
,Alien: Romulus,,Horror,Sci-Fi,,Fede Alvarez,,,,Ranking 88
The Holdovers,Los que se quedan,7.9,Comedy,Drama,,Alexander Payne,2023,2h 13m,12,Ranking 87
The Hunger Games: The Ballad of Songbirds & Snakes,Los juegos del hambre: Balada de pájaros cantores y serpientes,6.8,Action,Adventure,Drama,Francis Lawrence,2023,2h 37m,12,Ranking 86
Killers of the Flower Moon,Los asesinos de la luna,7.6,Crime,Drama,History,Martin Scorsese,2023,3h 26m,16,Ranking 85
The Omen,La profecía,7.5,Horror,Mystery,,Richard Donner,1976,1h 51m,18,Ranking 84
Beetlejuice Beetlejuice,Bitelchús Bitelchús,,Comedy,Fantasy,Horror,Tim Burton,,,,Ranking 83
All of Us Strangers,Desconocidos,7.7,Drama,Fantasy,Romance,Andrew Haigh,2023,1h 45m,16,Ranking 82
,Godzilla vs. Kong,6.3,Action,Sci-Fi,Thriller,Adam Wingard,2021,1h 53m,12,Ranking 81
Ghostbusters,Los Cazafantasmas,7.8,Action,Comedy,Fantasy,Ivan Reitman,1984,1h 45m,A,Ranking 80
,Amar Singh Chamkila,8.3,Biography,Drama,Music,Imtiaz Ali,2024,2h 25m,TV-MA,Ranking 79
Gojira -1.0,Godzilla Minus One,8.3,Action,Adventure,Drama,Takashi Yamazaki,2023,2h 4m,12,Ranking 78
The Bricklayer,Agente X: Última misión,5.1,Action,Thriller,,Renny Harlin,2023,1h 50m,R,Ranking 77
,Damaged,4.5,Action,Crime,Drama,Terry McDonough,2024,1h 37m,R,Ranking 76
The Shawshank Redemption,Cadena perpetua,9.3,Drama,,,Frank Darabont,1994,2h 22m,13,Ranking 75
Deadpool & Wolverine,Deadpool y Lobezno,,Action,Comedy,Sci-Fi,Shawn Levy,,,,Ranking 74
,Gladiator 2,,Action,Adventure,Drama,Ridley Scott,,,,Ranking 73
,American Fiction,7.6,Comedy,Drama,,Cord Jefferson,2023,1h 57m,R,Ranking 72
,Baby Driver,7.5,Action,Crime,Drama,Edgar Wright,2017,1h 53m,16,Ranking 71
,Miller's Girl,5.2,Comedy,Drama,,Jade Halley Bartlett,2024,1h 33m,16,Ranking 70
,Land of Bad,6.5,Action,Thriller,,William Eubank,2024,1h 53m,R,Ranking 69
Ghostbusters: Afterlife,Cazafantasmas: Más allá,7.0,Adventure,Comedy,Fantasy,Jason Reitman,2021,2h 4m,12,Ranking 68
Rebel Moon - Part One: A Child of Fire,Rebel Moon - Parte 1: La niña del fuego,5.6,Action,Adventure,Drama,Zack Snyder,2023,2h 13m,PG-13,Ranking 67
,Someone Like You,6.7,Romance,,,Tyler Russell,2024,1h 58m,PG,Ranking 66
,Cuckoo,5.7,Horror,Mystery,Thriller,Tilman Singer,2024,1h 42m,R,Ranking 65
,Pearl,7.0,Drama,Horror,Thriller,Ti West,2022,1h 43m,16,Ranking 64
,Saltburn,7.0,Drama,Thriller,,Emerald Fennell,2023,2h 11m,Not Rated,Ranking 63
,Arcadian,6.4,Action,Horror,Thriller,Benjamin Brewer,2024,1h 32m,R,Ranking 62
,Madame Web,3.8,Action,Adventure,Sci-Fi,S.J. Clarkson,2024,1h 56m,12,Ranking 61
How to Date Billy Walsh,Cómo conquistar a Billy Walsh,5.6,Comedy,Romance,,Alex Pillai,,,,Ranking 60
,Barbie,6.8,Adventure,Comedy,Fantasy,Greta Gerwig,2023,1h 54m,A/fig,Ranking 59
,Bade Miyan Chote Miyan,7.9,Action,Sci-Fi,Thriller,Ali Abbas Zafar,,,,Ranking 58
The Iron Claw,El clan de hierro,7.7,Biography,Drama,Sport,Sean Durkin,2023,2h 12m,16,Ranking 57
IF,Amigos imaginarios,,Comedy,Drama,Family,John Krasinski,,,,Ranking 56
,Crew,7.7,Comedy,Drama,,Rajesh A Krishnan,2024,1h 58m,7,Ranking 55
,Ricky Stanicky,6.2,Comedy,,,Peter Farrelly,2024,1h 53m,R,Ranking 54
,Interstellar,8.7,Adventure,Drama,Sci-Fi,Christopher Nolan,2014,2h 49m,12,Ranking 53
,Maidaan,8.9,Biography,Drama,History,Amit Ravindernath Sharma,,,,Ranking 52
The Beekeeper,Beekeeper: El protector,6.4,Action,Thriller,,David Ayer,2024,1h 45m,16,Ranking 51
,Speak No Evil,6.6,Drama,Horror,Thriller,Christian Tafdrup,,,,Ranking 15
,Speak No Evil,6.6,Drama,Horror,Thriller,Christian Tafdrup,2022,1h 37m,Not Rated,Ranking 50
Furiosa: A Mad Max Saga,Furiosa: De la saga Mad Max,,Action,Adventure,Sci-Fi,George Miller,,,,Ranking 49
The Godfather,El padrino,9.2,Crime,Drama,,Francis Ford Coppola,1972,2h 55m,18,Ranking 48
,Joker,8.4,Crime,Drama,Thriller,Todd Phillips,2019,2h 2m,18,Ranking 47
Split,Múltiple,7.3,Horror,Thriller,,M. Night Shyamalan,2016,1h 57m,16,Ranking 46
,Wonka,7.0,Adventure,Comedy,Family,Paul King,2023,1h 56m,A/i,Ranking 45
The Fall Guy,El especialista,7.4,Action,Comedy,Drama,David Leitch,2024,2h 6m,PG-13,Ranking 44
,Knox Goes Away,6.9,Thriller,,,Michael Keaton,2023,1h 54m,R,Ranking 43
,Immaculate,6.3,Horror,,,Michael Mohan,2024,1h 29m,18,Ranking 42
Glass,Glass (Cristal),6.6,Drama,Horror,Sci-Fi,M. Night Shyamalan,2019,2h 9m,12,Ranking 41
,Damsel,6.1,Action,Adventure,Fantasy,Juan Carlos Fresnadillo,2024,1h 50m,PG-13,Ranking 40
Anatomie d'une chute,Anatomía de una caída,7.7,Crime,Drama,Thriller,Justine Triet,2023,2h 31m,12,Ranking 39
,Dune,6.3,Action,Adventure,Sci-Fi,David Lynch,2021,2h 35m,12,Ranking 13
,Dune,6.3,Action,Adventure,Sci-Fi,David Lynch,1984,2h 17m,13,Ranking 38
,Baghead,5.4,Horror,,,Alberto Corredor,,,,Ranking 37
Love Lies Bleeding,Sangre en los labios,7.3,Action,Adventure,Crime,Rose Glass,2024,1h 44m,18,Ranking 36
,Late Night with the Devil,7.5,Horror,,,Cameron Cairnes,2023,1h 33m,R,Ranking 35
,X,6.5,Horror,Mystery,Thriller,Ti West,2022,1h 45m,18,Ranking 34
Wicked Little Letters,Pequeñas cartas indiscretas,7.0,Comedy,Crime,Drama,Thea Sharrock,2023,1h 40m,16,Ranking 33
Megalopolis,Megalópolis,,Drama,Sci-Fi,,Francis Ford Coppola,,,,Ranking 32
Kingdom of the Planet of the Apes,El reino del planeta de los simios,,Action,Adventure,Sci-Fi,Wes Ball,2024,2h 25m,PG-13,Ranking 31
The Little Things,Pequeños detalles,6.3,Crime,Drama,Mystery,John Lee Hancock,2021,2h 8m,12,Ranking 30
,Back to Black,6.7,Biography,Drama,Music,Sam Taylor-Johnson,2024,2h 2m,R,Ranking 29
Road House,De profesión: duro,6.7,Action,Thriller,,Rowdy Herrington,1989,1h 54m,18,Ranking 28
Anyone But You,Cualquiera menos tú,6.2,Comedy,Romance,,Will Gluck,2023,1h 43m,12,Ranking 27
The Talented Mr. Ripley,El talento de Mr. Ripley,7.4,Crime,Drama,Thriller,Anthony Minghella,1999,2h 19m,13,Ranking 26
,Sleeping Dogs,5.9,Crime,Mystery,Thriller,Adam Cooper,2024,1h 50m,R,Ranking 25
,The Ministry of Ungentlemanly Warfare,7.0,Action,Drama,War,Guy Ritchie,2024,2h,R,Ranking 24
Challengers,Rivales,,Drama,Romance,Sport,Luca Guadagnino,2024,2h 11m,12,Ranking 23
The Gentlemen,The Gentlemen: Los señores de la mafia,7.8,Action,Crime,,Guy Ritchie,2019,1h 53m,16,Ranking 22
The Zone of Interest,La zona de interés,7.5,Drama,History,War,Jonathan Glazer,2023,1h 45m,12,Ranking 21
,MaXXXine,,Crime,Horror,,Ti West,2024,1h 43m,R,Ranking 20
,Argylle,5.7,Action,Comedy,Thriller,Matthew Vaughn,2024,2h 19m,12,Ranking 19
Fabbricante di lacrime,Fabricante de lágrimas,5.2,Drama,Fantasy,Romance,Alessandro Genovesi,2024,1h 43m,TV-MA,Ranking 18
,Oppenheimer,8.3,Biography,Drama,History,Christopher Nolan,2023,3h,12,Ranking 17
Ghostbusters: Frozen Empire,Cazafantasmas: Imperio helado,6.4,Adventure,Comedy,Fantasy,Gil Kenan,2024,1h 55m,7,Ranking 16
,Speak No Evil,,Drama,Horror,Thriller,James Watkins,,,,Ranking 15
,Speak No Evil,,Drama,Horror,Thriller,James Watkins,2022,1h 37m,Not Rated,Ranking 50
,Kung Fu Panda 4,6.4,Animation,Action,Adventure,Mike Mitchell,2024,1h 34m,A,Ranking 14
,Dune,8.0,Action,Adventure,Drama,Denis Villeneuve,2021,2h 35m,12,Ranking 13
,Dune,8.0,Action,Adventure,Drama,Denis Villeneuve,1984,2h 17m,13,Ranking 38
,Fly Me to the Moon,,Comedy,Romance,,Greg Berlanti,,,,Ranking 12
Poor Things,Pobres criaturas,7.9,Comedy,Drama,Romance,Yorgos Lanthimos,2023,2h 21m,16,Ranking 11
Wish,Wish: El poder de los deseos,5.6,Animation,Adventure,Comedy,Chris Buck,2023,1h 35m,A/i,Ranking 10
,Abigail,6.5,Horror,Thriller,,Matt Bettinelli-Olpin,2024,1h 49m,16,Ranking 9
The First Omen,La primera profecía,6.9,Horror,,,Arkasha Stevenson,2024,1h 59m,18,Ranking 8
Road House,Road House. De profesión: duro,6.2,Action,Thriller,,Doug Liman,2024,2h 1m,R,Ranking 7
Scoop,La gran exclusiva,6.6,Biography,Drama,,Philip Martin,2024,1h 42m,TV-14,Ranking 6
Godzilla x Kong: The New Empire,Godzilla y Kong: El nuevo imperio,6.5,Action,Adventure,Sci-Fi,Adam Wingard,2024,1h 55m,12,Ranking 5
,Monkey Man,7.3,Action,Thriller,,Dev Patel,2024,2h 1m,18,Ranking 4
,Joker: Folie à Deux,,Crime,Drama,Musical,Todd Phillips,,,,Ranking 3
Dune: Part Two,Dune: Parte dos,8.7,Action,Adventure,Drama,Denis Villeneuve,2024,2h 46m,12,Ranking 2
,Civil War,7.6,Action,Thriller,,Alex Garland,2024,1h 49m,18,Ranking 1
